"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1969","Login Page title test","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","3217","loging to app using wrong credentials with data driven test","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","1851","@smoke Login Page title test","chromium","2026-06-27","passed","2026-06-27","","loginpage.spec.ts","",""
"","2374","excel data for invalid scenarios - - w1234","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","333","GET API -- get all Users","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","2482","json data for invalid scenarios - larrymith@gmail.com - wrong123","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","3752","Verify user able to land the product page - macbook -MacBook Pro","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","2957","Verify Search results count- macbook -MacBook Air","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","3838","create User - John","chromium","2026-06-27","passed","2026-06-27","","registerpage.spec.ts","",""
"","3093","create User - Chris","chromium","2026-06-27","passed","2026-06-27","","registerpage.spec.ts","",""
"","700","GET---get a user","chromium","2026-06-27","passed","2026-06-27","","api/user.schema.spec.ts","",""
"","2401","invalid Login Test with - - pw1234","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","405","Post Add Contact","chromium","2026-06-27","passed","2026-06-27","","api/api.contacts.spec.ts","",""
"","2658","@regression User able to loginto app test","chromium","2026-06-27","passed","2026-06-27","","loginpage.spec.ts","",""
"","179","mock search data API","chromium","2026-06-27","passed","2026-06-27","","api/intercept.spec.ts","",""
"","2756","User able to loginto app test","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","352","create User test","chromium","2026-06-27","passed","2026-06-27","","api/usersapi.spec.ts","",""
"","1072","PATCH -- update a user","chromium","2026-06-27","passed","2026-06-27","","api/api.users.inidi.spec.ts","",""
"","2593","homepage headers exist test","chromium","2026-06-27","passed","2026-06-27","","homepage.spec.ts","",""
"","2411","invalid Login Test with - invalidujm@open.com - wron123","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","2612","homepage headers exist test","chromium","2026-06-27","passed","2026-06-27","","homePageFix.spec.ts","",""
"","376","getUser test","chromium","2026-06-27","passed","2026-06-27","","api/usersapi.spec.ts","",""
"","2743","@regression companyLogo exists on productpage","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","2602","Home Page title test","chromium","2026-06-27","passed","2026-06-27","","homePageFix.spec.ts","",""
"","2511","@regression footers exists on productpage","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","380","Delete API -- Delete single user","chromium","2026-06-27","passed","2026-06-27","running e2e go rest crud api tests","api/user.api.sep.spec.ts","",""
"","3374","create User - Matt","chromium","2026-06-27","passed","2026-06-27","","registerpage.spec.ts","",""
"","0","Update User test","chromium","2026-06-27","skipped","2026-06-27","","api/usersapi.spec.ts","",""
"","3064","Verify Search results count- macbook -MacBook Pro","chromium","2026-06-27","passed","2026-06-27","","search.spec.ts","",""
"","2510","json data for invalid scenarios - Worng@gmail.com -","chromium","2026-06-27","passed","2026-06-27","","loginpagefix.spec.ts","",""
"","3797","create User - Caroline","chromium","2026-06-27","passed","2026-06-27","","registerpage.spec.ts","",""
